epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61796,1.89813,5.00601,3.16712,1.80048,0.00333,0.3,0.01503,0.00386,0.00111,0.1,0.0009,0.00029,2.49067,8.27935,3.46127,2.17724,2e-05,2e-05,2e-05
2,4.85448,1.54814,4.71805,3.25444,1.68868,0.00333,0.3,0.01145,0.00278,0.00111,0.1,0.00126,0.00036,2.50274,8.34654,3.47633,2.17694,5.8812e-05,5.8812e-05,5.8812e-05
3,5.8618,1.77959,4.9848,3.21658,1.81877,0.00389,0.35,0.0158,0.00495,0.00167,0.15,0.00173,0.00074,2.15179,6.29625,3.3632,1.74723,9.604e-05,9.604e-05,9.604e-05
4,7.23679,1.41093,3.65341,3.06771,1.47268,0.00389,0.35,0.06587,0.04344,0.00389,0.35,0.06587,0.04034,1.18572,3.07259,2.89585,1.1516,0.000131684,0.000131684,0.000131684
5,9.0238,1.09559,2.9296,2.8129,1.24533,0.00389,0.35,0.12001,0.09064,0.00389,0.35,0.12003,0.09272,1.03357,2.52785,2.89407,1.02513,0.000165744,0.000165744,0.000165744
6,10.9762,1.0258,2.63795,2.73457,1.15275,0.00389,0.35,0.18289,0.13421,0.00389,0.35,0.18289,0.13476,0.98422,2.61276,2.88257,0.99601,0.00019822,0.00019822,0.00019822
7,12.3982,0.95875,1.92443,2.6739,1.15329,0.00389,0.35,0.26829,0.21863,0.00389,0.35,0.26829,0.19482,0.83077,2.66894,2.84456,0.91591,0.000229112,0.000229112,0.000229112
8,15.0745,0.9724,1.79629,2.57411,1.08204,0.00389,0.35,0.26837,0.23627,0.00389,0.35,0.26837,0.22611,0.82849,2.47884,2.83816,0.88908,0.00025842,0.00025842,0.00025842
9,16.2345,0.83974,1.56294,2.40826,1.00061,0.00389,0.35,0.29714,0.26113,0.00389,0.35,0.29763,0.26066,0.89702,2.23493,2.89242,0.90915,0.000286144,0.000286144,0.000286144
10,17.3202,0.95012,1.7765,2.45617,1.06161,0.00389,0.35,0.29827,0.25403,0.00389,0.35,0.30343,0.26233,0.97124,2.20715,2.89138,0.93184,0.000312284,0.000312284,0.000312284
11,18.3818,0.86553,1.7371,2.33853,1.03985,0.00444,0.4,0.29705,0.20704,0.00444,0.4,0.29727,0.25367,1.11386,2.61111,2.8794,1.01439,0.00033684,0.00033684,0.00033684
12,19.4856,0.94533,1.55723,2.42865,1.00434,0.00444,0.4,0.29705,0.20704,0.00444,0.4,0.29727,0.25367,1.11386,2.61111,2.8794,1.01439,0.000359812,0.000359812,0.000359812
13,20.551,0.89244,1.59398,2.33796,1.07429,0.005,0.45,0.29797,0.24759,0.00444,0.4,0.29834,0.24709,0.98199,3.09965,2.80329,0.98751,0.0003812,0.0003812,0.0003812
14,21.9345,0.8478,1.48502,2.19781,1.03649,0.005,0.45,0.30623,0.27337,0.00444,0.4,0.30401,0.23445,0.97974,3.39482,2.78177,0.98797,0.000401004,0.000401004,0.000401004
15,23.5431,1.0467,1.69095,2.17277,1.02291,0.005,0.45,0.30623,0.27337,0.00444,0.4,0.30401,0.23445,0.97974,3.39482,2.78177,0.98797,0.000419224,0.000419224,0.000419224
16,25.9306,0.98898,1.61571,2.08007,1.03057,0.00556,0.5,0.28797,0.24234,0.00611,0.55,0.28888,0.24587,0.99918,2.97973,2.7805,1.01218,0.00043586,0.00043586,0.00043586
17,26.9742,1.04553,1.67361,2.114,1.08603,0.00556,0.5,0.28182,0.23418,0.00611,0.55,0.28308,0.22958,0.88615,3.07741,2.73381,0.89832,0.000450912,0.000450912,0.000450912
18,28.0113,0.94105,1.45761,1.92849,1.04377,0.00556,0.5,0.28182,0.23418,0.00611,0.55,0.28308,0.22958,0.88615,3.07741,2.73381,0.89832,0.00046438,0.00046438,0.00046438
19,29.0672,1.07868,1.42487,1.96823,1.05369,0.00556,0.5,0.32364,0.28335,0.00611,0.55,0.32467,0.26614,0.83214,3.03123,2.71223,0.86647,0.000476264,0.000476264,0.000476264
20,30.6336,0.9424,1.35262,1.83742,1.03052,0.00556,0.5,0.32364,0.28335,0.00611,0.55,0.32467,0.26614,0.83214,3.03123,2.71223,0.86647,0.000486564,0.000486564,0.000486564
21,32.1675,0.82526,1.23628,1.6994,0.94938,0.00556,0.5,0.34748,0.32086,0.00611,0.55,0.3433,0.2819,0.81099,2.88744,2.71821,0.87961,0.00049528,0.00049528,0.00049528
22,33.2273,0.76198,0.98875,1.62028,1.03284,0.00556,0.5,0.34748,0.32086,0.00611,0.55,0.3433,0.2819,0.81099,2.88744,2.71821,0.87961,0.000502412,0.000502412,0.000502412
23,34.6432,0.92349,1.4936,1.64657,1.0143,0.00611,0.55,0.34757,0.30354,0.00611,0.55,0.33682,0.26393,0.89536,2.73011,2.70508,0.897,0.00050796,0.00050796,0.00050796
24,35.6824,0.75842,1.14149,1.5263,0.97492,0.00611,0.55,0.34757,0.30354,0.00611,0.55,0.33682,0.26393,0.89536,2.73011,2.70508,0.897,0.000511924,0.000511924,0.000511924
25,37.2231,0.81908,1.22015,1.64871,0.9771,0.00556,0.5,0.36315,0.3135,0.00611,0.55,0.36401,0.28322,0.91329,2.5212,2.65982,0.89151,0.000514304,0.000514304,0.000514304
26,38.945,0.792,1.31398,1.48537,0.94901,0.00556,0.5,0.36315,0.3135,0.00611,0.55,0.36401,0.28322,0.91329,2.5212,2.65982,0.89151,0.0005151,0.0005151,0.0005151
27,40.5251,0.90887,1.30304,1.4865,0.95861,0.00556,0.5,0.36315,0.3135,0.00611,0.55,0.36401,0.28322,0.91329,2.5212,2.65982,0.89151,0.000514312,0.000514312,0.000514312
28,41.5893,0.85624,1.13597,1.422,0.97474,1,0.13246,0.35707,0.29947,1,0.13246,0.35793,0.29347,1.02743,2.4604,2.56111,0.90363,0.00051194,0.00051194,0.00051194
29,43.1117,0.82002,1.34456,1.42228,0.96507,1,0.13246,0.35707,0.29947,1,0.13246,0.35793,0.29347,1.02743,2.4604,2.56111,0.90363,0.000507984,0.000507984,0.000507984
30,44.1131,0.75439,0.8819,1.3692,0.96163,1,0.28071,0.35291,0.30715,1,0.28071,0.34897,0.29767,1.0467,2.39218,2.44971,0.90166,0.000502444,0.000502444,0.000502444
31,45.2201,0.71765,1.03713,1.37401,0.9507,1,0.28071,0.35291,0.30715,1,0.28071,0.34897,0.29767,1.0467,2.39218,2.44971,0.90166,0.00049532,0.00049532,0.00049532
32,46.2418,0.86212,1.33754,1.27123,0.95766,1,0.28071,0.35291,0.30715,1,0.28071,0.34897,0.29767,1.0467,2.39218,2.44971,0.90166,0.000486612,0.000486612,0.000486612
33,47.4211,0.86401,1.17052,1.28093,0.97833,0.92746,0.3,0.33649,0.30867,0.92746,0.3,0.33787,0.29122,1.04248,2.3981,2.33061,0.88886,0.00047632,0.00047632,0.00047632
34,48.3869,0.83423,1.22975,1.26978,0.96296,0.92746,0.3,0.33649,0.30867,0.92746,0.3,0.33787,0.29122,1.04248,2.3981,2.33061,0.88886,0.000464444,0.000464444,0.000464444
35,49.4955,0.82155,1.25459,1.26825,0.9587,0.92746,0.3,0.33649,0.30867,0.92746,0.3,0.33787,0.29122,1.04248,2.3981,2.33061,0.88886,0.000450984,0.000450984,0.000450984
36,50.7475,0.69388,0.78471,1.27067,0.93977,0.66833,0.3025,0.31832,0.27377,0.66833,0.3025,0.31909,0.28305,1.04695,2.22338,2.20418,0.9106,0.00043594,0.00043594,0.00043594
37,52.3276,0.80364,1.07603,1.20354,1.01569,0.66833,0.3025,0.31832,0.27377,0.66833,0.3025,0.31909,0.28305,1.04695,2.22338,2.20418,0.9106,0.000419312,0.000419312,0.000419312
38,53.9514,0.78894,0.87932,1.19153,0.94574,0.66833,0.3025,0.31832,0.27377,0.66833,0.3025,0.31909,0.28305,1.04695,2.22338,2.20418,0.9106,0.0004011,0.0004011,0.0004011
39,55.153,0.83729,0.99139,1.30303,1.0201,0.87297,0.34433,0.34198,0.30148,0.87297,0.34433,0.34219,0.30932,0.96057,2.19981,2.05444,0.87611,0.000381304,0.000381304,0.000381304
40,56.1571,0.66696,1.02827,1.09749,0.90943,0.87297,0.34433,0.34198,0.30148,0.87297,0.34433,0.34219,0.30932,0.96057,2.19981,2.05444,0.87611,0.000359924,0.000359924,0.000359924
41,59.1594,0.90565,1.91806,1.90107,1.01962,0.87297,0.34433,0.34198,0.30148,0.87297,0.34433,0.34219,0.30932,0.96057,2.19981,2.05444,0.87611,0.00033696,0.00033696,0.00033696
42,60.8081,0.80566,1.4206,1.9783,1.02752,0.7641,0.35,0.33718,0.30781,0.7641,0.35,0.33759,0.31094,0.93974,2.11777,1.94067,0.86737,0.000312412,0.000312412,0.000312412
43,61.781,0.84418,1.34438,1.83242,1.05149,0.7641,0.35,0.33718,0.30781,0.7641,0.35,0.33759,0.31094,0.93974,2.11777,1.94067,0.86737,0.00028628,0.00028628,0.00028628
44,62.802,0.75839,1.0888,1.52711,0.91677,0.7641,0.35,0.33718,0.30781,0.7641,0.35,0.33759,0.31094,0.93974,2.11777,1.94067,0.86737,0.000258564,0.000258564,0.000258564
45,64.2146,0.84771,1.40641,1.62165,0.9702,0.7641,0.35,0.33718,0.30781,0.7641,0.35,0.33759,0.31094,0.93974,2.11777,1.94067,0.86737,0.000229264,0.000229264,0.000229264
46,65.6699,0.78881,1.28861,1.59301,0.95173,1,0.34564,0.35116,0.32616,1,0.34564,0.3512,0.32148,0.91136,1.99484,1.79993,0.8588,0.00019838,0.00019838,0.00019838
47,67.2272,0.8446,1.35224,1.60258,0.94877,1,0.34564,0.35116,0.32616,1,0.34564,0.3512,0.32148,0.91136,1.99484,1.79993,0.8588,0.000165912,0.000165912,0.000165912
48,68.7112,0.70124,1.24114,1.58758,0.85705,1,0.34564,0.35116,0.32616,1,0.34564,0.3512,0.32148,0.91136,1.99484,1.79993,0.8588,0.00013186,0.00013186,0.00013186
49,69.9626,0.74688,1.03071,1.60055,0.94362,1,0.34564,0.35116,0.32616,1,0.34564,0.3512,0.32148,0.91136,1.99484,1.79993,0.8588,9.6224e-05,9.6224e-05,9.6224e-05
50,70.997,0.74839,1.11192,1.66147,0.96933,1,0.34946,0.36143,0.33194,1,0.34946,0.36194,0.32658,0.89514,1.91026,1.69514,0.85731,5.9004e-05,5.9004e-05,5.9004e-05
